src,dst,edge_type,note,source_citation
crowley_a,mathers_s_l,adversarial,"Crowley initiated into Golden Dawn under Mathers 1898; falling-out 1904.",Sutin 'Do What Thou Wilt' 2000 ch.4
crowley_a,westcott_william,adversarial,"Crowley contested Westcott's Cipher Manuscripts authority in Equinox vol.1.",Crowley 'Equinox' I.3 1910
mathers_s_l,westcott_william,cooccurrence,"Co-founders Hermetic Order of the Golden Dawn 1888.",Howe 'Magicians of the Golden Dawn' 1972
westcott_william,blavatsky_h_p,cooccurrence,"Westcott was a TS member from 1881; consulted HPB on the Cipher Manuscripts.",Howe 1972 ch.1
mathers_s_l,blavatsky_h_p,cooccurrence,"Mathers attended HPB's London lodge meetings 1887-90 alongside Yeats.",Foster 'W.B. Yeats: A Life' 1997 vol.1
yeats_w_b,blavatsky_h_p,cooccurrence,"Yeats joined HPB's Esoteric Section 1888; expelled 1890.",Foster 1997
yeats_w_b,mathers_s_l,cooccurrence,"Yeats joined Golden Dawn under Mathers 1890.",Foster 1997
crowley_a,yeats_w_b,adversarial,"Crowley-Yeats feud over leadership of Golden Dawn London Temple 1900.",Sutin 2000 ch.4
guenon_rene,besant_annie,adversarial,"Same work attacks Besant's leadership and the Krishnamurti project.",Guénon 1921
gurdjieff_g_i,ouspensky_p_d,cooccurrence,"Ouspensky was Gurdjieff's primary expositor 1915-1924.",Ouspensky 'In Search of the Miraculous' 1949
ouspensky_p_d,bailey_alice,cooccurrence,"Both prominent in the post-theosophical New York/London esoteric scene 1920s-30s.",Tillett 'Elder Brother' 1982
solovyov_v_s,coulomb_emma,adversarial,"Solovyov's 'A Modern Priestess of Isis' (1893) draws on the Coulomb-letters affair.",Solovyov 1893 (English ed. Walter Leaf 1895)
solovyov_v_s,hodgson_richard,adversarial,"Solovyov corresponded with Hodgson during the SPR investigation 1884-85.",Hodgson Report SPR Proc. 1885
hodgson_richard,coulomb_emma,adversarial,"Hodgson's investigation rests centrally on the Coulomb-letters.",Hodgson Report SPR Proc. 1885
hodgson_richard,coulomb_alexis,adversarial,"Same — Alexis Coulomb constructed the alleged shrine-room mechanisms.",Hodgson Report SPR Proc. 1885
edison_thomas,olcott_h_s,cooccurrence,"Olcott invited Edison to join TS New York in 1878; Edison signed the application.",Olcott 'Old Diary Leaves' v.1 1895
crookes_william,blavatsky_h_p,cooccurrence,"Crookes met HPB in London 1884; corresponded on radiant matter.",Cranston 'HPB' 1993 ch.18
crookes_william,olcott_h_s,cooccurrence,"Olcott visited Crookes's lab January 1888.",Olcott 'Old Diary Leaves' v.4
crookes_william,wallace_a_r,cooccurrence,"Co-investigators in the Society for Psychical Research from 1882.",SPR Proceedings 1882
wallace_a_r,olcott_h_s,cooccurrence,"Olcott corresponded with Wallace on Spiritualism 1875-1880.",Olcott 'Old Diary Leaves' v.1
mondrian_piet,steiner_rudolf,cooccurrence,"Mondrian attended Steiner's Berlin 1908 lectures; corresponded.",Bax 'Mondrian and Theosophy' 1979
mondrian_piet,af_klint_hilma,cooccurrence,"Both 1910s abstractionists working from theosophical color theory; never met but parallel program.",Müller-Westermann 'Hilma af Klint' 2013
af_klint_hilma,steiner_rudolf,cooccurrence,"af Klint showed paintings to Steiner Stockholm 1908; he advised against exhibition.",Müller-Westermann 2013
kandinsky_w,steiner_rudolf,cooccurrence,"Kandinsky attended Steiner's Munich lectures 1907-08; cited him in 'Concerning the Spiritual in Art'.",Ringbom 'The Sounding Cosmos' 1970
kandinsky_w,besant_annie,cooccurrence,"Same; Kandinsky drew on Besant-Leadbeater 'Thought-Forms' 1905.",Ringbom 1970
kandinsky_w,leadbeater_c_w,cooccurrence,"'Thought-Forms' (Besant/Leadbeater 1905) directly underlies Kandinsky's color theory.",Ringbom 1970
scriabin_a,besant_annie,cooccurrence,"Scriabin attended Besant lectures Brussels 1908.",Bowers 1969
klee_paul,steiner_rudolf,cooccurrence,"Klee attended Steiner Munich lectures 1907 alongside Kandinsky.",Düchting 'Klee' 1997
klee_paul,kandinsky_w,cooccurrence,"Bauhaus colleagues 1922-31; shared theosophical color reading.",Düchting 1997
